time,p0,p100,uz0
-3600,0,0,0
0,373160,1144714.2153901,-0.806118860244
3600,375998.81553307,1145820.6050254,-0.81226622086317
7200,375806.80276191,1145927.8812462,-0.81181552768942
10800,375017.37465312,1146060.5612972,-0.81006796389519
14400,373990.04528704,1146440.6904863,-0.80780546418566
18000,373129.92693773,1147250.5266316,-0.80591006799361
21600,372777.27295259,1148598.3783252,-0.8051227186925
25200,373114.66292841,1150504.9281158,-0.80584081620477
28800,374115.52548198,1152902.1348108,-0.80800598608087
32400,375547.23479299,1155645.7389197,-0.81111084341126
36000,377028.22421545,1158542.2805303,-0.81432350166876
39600,378124.8932776,1161387.3016545,-0.81669880302133
43200,378463.97230264,1164007.2315838,-0.81742321678219
46800,377831.99142851,1166295.4185209,-0.8160316055598
50400,376236.59241022,1168233.5315981,-0.8125408052351
54000,373913.85697652,1169892.8291493,-0.80746553600084
57600,371279.2506753,1171414.6375057,-0.80171142546746
61200,368833.84193095,1172974.5130356,-0.79637057024416
64800,367048.63712231,1174738.6345118,-0.79246942779854
68400,366255.37677198,1176822.9450317,-0.79073082062014
72000,366570.5863994,1179264.923544,-0.79140844565959
75600,367871.45245187,1182014.7668609,-0.79423435315303
79200,369829.2505599,1184947.9740688,-0.79849186313751
82800,371991.79611323,1187896.0410705,-0.80319531374613
86400,373894.27443143,1190687.5126214,-0.80733163881526
90000,375170.86099592,1193189.115765,-0.81010363775412
93600,375639.49005879,1195336.7406106,-0.81111469438439
97200,375338.9765601,1197148.6287362,-0.81044963059572
100800,374509.72067646,1198717.6246863,-0.80863259256838
104400,373523.41149162,1200184.6154298,-0.80647378965872
108000,372779.94201714,1201700.0065327,-0.80484479198777
111600,372597.94826683,1203383.0796588,-0.80443996027446
115200,373126.9386365,1205289.5944937,-0.80558496018337
118800,374303.50030263,1207395.910582,-0.80814136364484
122400,375862.93255136,1209603.735017,-0.81153206162877
126000,377403.65613251,1211764.3961114,-0.81488169593257
129600,378488.3942576,1213716.6066196,-0.81723721524194
133200,378756.76508423,1215328.2512183,-0.81781327468607
136800,378020.91794088,1216531.6731383,-0.81620065008946
140400,376319.94804204,1217343.5125809,-0.81248478683004
144000,373919.01912235,1217863.9731261,-0.80724382837203
147600,371252.86673996,1218255.5076484,-0.80142542597321
151200,368827.2137782,1218706.0443623,-0.79613183547956
154800,367102.13977343,1219385.7344289,-0.79236570957739
158400,366385.97859614,1220407.8295005,-0.79079886660768
162000,366765.73943083,1221803.2832404,-0.79162068741162
165600,368090.99603023,1223515.2678624,-0.794503060919
169200,370014.9278678,1225414.8547035,-0.79868989244339
172800,372082.03509574,1227333.8608297,-0.8031883231724
176400,373840.52212542,1229106.621605,-0.80701368963942
180000,374951.32715932,1230610.2702013,-0.8094271431416
183600,375266.76327867,1231793.531068,-0.81010701048594
187200,374859.47429443,1232686.9555878,-0.80921184825015
190800,373994.95119775,1233392.2106926,-0.80732048373697
194400,373055.05752903,1234053.3010452,-0.80526529095868
198000,372432.31568063,1234817.1421552,-0.80390176304276
201600,372422.02967774,1235793.5693208,-0.80387339826091
205200,373139.83041618,1237024.9979295,-0.80543202207743
208800,374485.80085375,1238473.5123646,-0.80835964969255
212400,376164.58390624,1240028.7650952,-0.81201236921917
216000,377756.74214846,1241534.8164684,-0.81547591968729
219600,378823.67007669,1242829.2558872,-0.8177943757132
223200,379019.81041083,1243784.8180525,-0.81821472279079
226800,378183.94433023,1244343.0295065,-0.8163857954892
230400,376386.41692527,1244531.3639322,-0.81246115472456
234000,373920.05843966,1244459.4664312,-0.80707924079817
237600,371236.54964779,1244295.2087326,-0.80122462758296
241200,368843.56214851,1244226.3596017,-0.79600380482738
244800,367187.78709699,1244417.2424379,-0.79239023229516
248400,366552.5030982,1244971.008184,-0.79100111184562
252000,366994.74019547,1245906.7617858,-0.79196048350382
255600,368337.26862249,1247157.0913937,-0.79488182481633
259200,370217.03257729,1248586.4826464,-0.79897367012939
262800,372177.65904634,1250025.9211933,-0.8032412752308
266400,373782.79207039,1251314.9881496,-0.8067336446867
270000,374721.9469442,1252340.9327242,-0.8087742264595
273600,374882.60223717,1253065.0159795,-0.80911799582462
277200,374370.83460466,1253529.6536974,-0.8079963726309
280800,373475.79494589,1253844.7324134,-0.80603973932586
284400,372587.46608151,1254156.7157081,-0.80409814912418
288000,372088.88778304,1254608.4839654,-0.80300641001614
291600,372250.44228789,1255300.1763183,-0.80335368890325
295200,373153.25801859,1256261.0461087,-0.80531660579566
298800,374661.44628107,1257439.5656903,-0.8085987772857
302400,376450.57608094,1258714.4185005,-0.81249293514721
306000,378085.60152715,1259923.7484251,-0.81605081628189
309600,379128.94264271,1260905.4192552,-0.81831874937011
313200,379251.72348636,1261538.228806,-0.81858009382006
316800,378320.22654278,1261773.728959,-0.8165436343904
320400,376435.67531759,1261650.6012578,-0.81243023442673
324000,373917.00252417,1261287.8558253,-0.80693521904878
